0.00E+00,4.88E+01,8.48E+00,1.70E+04
1.00E+01,6.92E+01,6.92E+01,1.69E+04
2.00E+01,1.78E+02,1.34E+02,1.68E+04
3.00E+01,2.00E+02,2.21E+02,1.66E+04
4.00E+01,2.78E+02,2.21E+02,1.68E+04
5.00E+01,3.26E+02,3.08E+02,1.67E+04
6.00E+01,4.24E+02,2.63E+02,1.65E+04
7.00E+01,4.55E+02,4.06E+02,1.64E+04
8.00E+01,4.81E+02,4.76E+02,1.63E+04
9.00E+01,5.92E+02,5.44E+02,1.65E+04
1.00E+02,5.90E+02,5.63E+02,1.64E+04
1.10E+02,6.72E+02,6.05E+02,1.64E+04
1.20E+02,7.40E+02,7.15E+02,1.60E+04
1.30E+02,7.81E+02,8.00E+02,1.63E+04
1.40E+02,8.55E+02,7.77E+02,1.62E+04
1.50E+02,9.35E+02,8.51E+02,1.59E+04
1.60E+02,9.53E+02,9.09E+02,1.59E+04
1.70E+02,1.00E+03,9.62E+02,1.61E+04
1.80E+02,1.13E+03,1.01E+03,1.57E+04
1.90E+02,1.18E+03,1.07E+03,1.57E+04
2.00E+02,1.19E+03,1.14E+03,1.55E+04
2.10E+02,1.30E+03,1.23E+03,1.54E+04
2.20E+02,1.33E+03,1.24E+03,1.51E+04
2.30E+02,1.38E+03,1.27E+03,1.52E+04
2.40E+02,1.44E+03,1.34E+03,1.52E+04
2.50E+02,1.50E+03,1.42E+03,1.51E+04
2.60E+02,1.55E+03,1.44E+03,1.51E+04
2.70E+02,1.62E+03,1.48E+03,1.47E+04
2.80E+02,1.68E+03,1.60E+03,1.48E+04
2.90E+02,1.74E+03,1.61E+03,1.44E+04
3.00E+02,1.81E+03,1.66E+03,1.41E+04
3.10E+02,1.83E+03,1.74E+03,1.45E+04
3.20E+02,1.91E+03,1.81E+03,1.45E+04
3.30E+02,1.92E+03,1.85E+03,1.43E+04
3.40E+02,2.01E+03,1.91E+03,1.40E+04
3.50E+02,2.07E+03,1.93E+03,1.43E+04
3.60E+02,2.09E+03,1.98E+03,1.43E+04
3.70E+02,2.19E+03,2.10E+03,1.40E+04
3.80E+02,2.27E+03,2.11E+03,1.38E+04
3.90E+02,2.34E+03,2.14E+03,1.34E+04
4.00E+02,2.37E+03,2.20E+03,1.36E+04
4.10E+02,2.35E+03,2.24E+03,1.36E+04
4.20E+02,2.48E+03,2.22E+03,1.33E+04
4.30E+02,2.48E+03,2.32E+03,1.33E+04
4.40E+02,2.52E+03,2.37E+03,1.34E+04
4.50E+02,2.61E+03,2.47E+03,1.33E+04
4.60E+02,2.67E+03,2.49E+03,1.30E+04
4.70E+02,2.75E+03,2.53E+03,1.30E+04
4.80E+02,2.71E+03,2.66E+03,1.28E+04
4.90E+02,2.82E+03,2.61E+03,1.27E+04
5.00E+02,2.86E+03,2.73E+03,1.25E+04
5.10E+02,2.91E+03,2.70E+03,1.25E+04
5.20E+02,3.00E+03,2.80E+03,1.25E+04
5.30E+02,3.06E+03,2.85E+03,1.26E+04
5.40E+02,3.09E+03,2.89E+03,1.23E+04
5.50E+02,3.08E+03,2.93E+03,1.20E+04
5.60E+02,3.18E+03,2.95E+03,1.21E+04
5.70E+02,3.23E+03,3.02E+03,1.21E+04
5.80E+02,3.25E+03,3.09E+03,1.16E+04
5.90E+02,3.33E+03,3.12E+03,1.20E+04
6.00E+02,3.35E+03,3.17E+03,1.13E+04
6.10E+02,3.44E+03,3.18E+03,1.17E+04
6.20E+02,3.43E+03,3.21E+03,1.16E+04
6.30E+02,3.50E+03,3.30E+03,1.15E+04
6.40E+02,3.52E+03,3.29E+03,1.14E+04
6.50E+02,3.59E+03,3.38E+03,1.12E+04
6.60E+02,3.68E+03,3.45E+03,1.09E+04
6.70E+02,3.75E+03,3.46E+03,1.10E+04
6.80E+02,3.74E+03,3.50E+03,1.09E+04
6.90E+02,3.81E+03,3.54E+03,1.06E+04
7.00E+02,3.84E+03,3.58E+03,1.03E+04
7.10E+02,3.95E+03,3.65E+03,1.01E+04
7.20E+02,3.97E+03,3.73E+03,1.02E+04
7.30E+02,3.95E+03,3.70E+03,1.03E+04
7.40E+02,4.05E+03,3.77E+03,1.00E+04
7.50E+02,4.11E+03,3.86E+03,9.92E+03
7.60E+02,4.17E+03,3.81E+03,9.58E+03
7.70E+02,4.18E+03,3.92E+03,9.33E+03
7.80E+02,4.31E+03,4.03E+03,9.85E+03
7.90E+02,4.27E+03,4.02E+03,9.41E+03
8.00E+02,4.34E+03,4.02E+03,9.41E+03
8.10E+02,4.39E+03,4.14E+03,9.32E+03
8.20E+02,4.40E+03,4.17E+03,9.13E+03
8.30E+02,4.43E+03,4.14E+03,8.86E+03
8.40E+02,4.60E+03,4.25E+03,8.73E+03
8.50E+02,4.55E+03,4.28E+03,8.74E+03
8.60E+02,4.60E+03,4.32E+03,8.52E+03
8.70E+02,4.66E+03,4.36E+03,8.65E+03
8.80E+02,4.66E+03,4.41E+03,8.24E+03
